gene,one,two
yceG,1,1
selA_1,1,1
udp,1,1
yjgA,1,1
ygbE,1,1
gntR_1,1,1
ybiP,1,1
treF,1,1
rlmB_1,1,1
rne,1,1
lpxB,1,1
bioA,1,1
ybaL,1,1
group_11268,1,1
pheS,1,1
pad1_1,1,1
modB_2,1,1
lolD_1,1,1
lpoB,1,1
hydN_1,1,1
strE,1,1
lsrD,1,1
polA,1,1
fucA_1,1,1
dapL,1,1
lnt,1,1
group_1128,1,1
rsmA,1,1
fliP_1,1,1
sufD,1,1
actP_1,1,1
csgC,1,1
yaiY,1,1
yciF,1,1
mlc_2,1,1
glmS_2,1,1
mscL,1,1
group_1129,1,1
moeA,1,1
hspQ,1,1
hslR,1,1
group_11293,1,1
fcl,1,1
speE,1,1
miaB,1,1
galS_2,1,1
group_11298,1,1
group_11299,1,1
sipA,1,1
lolB,1,1
galF,1,1
fhuA_1,1,1
poxB,1,1
group_11304,1,1
pgi,1,1
ygdH,1,1
fixJ,1,1
glpX,1,1
recF,1,1
acpP_1,1,1
znuB,1,1
mltD,1,1
rfaH,1,1
zapC,1,1
ybfF,1,1
group_11315,1,1
pta,1,1
talB,1,1
group_11318,1,1
gmhA,1,1
group_1132,1,1
cysA_3,1,1
qseD_1,1,1
nagK,1,1
ravA,1,1
uvrB,1,1
kdgM_2,1,1
rluA,1,1
ftsI_1,1,1
agp,1,1
group_11329,1,1
sicP,1,1
group_11330,1,1
bfr,1,1
citF_2,1,1
ansB_2,1,1
ulaF,1,1
cof_2,1,1
dgoD_1,1,1
degS_1,1,1
aruG,1,1
trxB,1,1
appY,1,1
mscM,1,1
waaA,1,1
rpoC,1,1
ydhC,1,1
ybhO_2,1,1
aceB,1,1
cheB,1,1
menF,1,1
glpQ,1,1
deoC,1,1
group_1135,1,1
group_11350,1,1
rarA,1,1
narX_2,1,1
group_11353,1,1
dxs_1,1,1
sdaB,1,1
argA,1,1
group_11357,1,1
yaaA,1,1
malQ,1,1
fhlA,1,1
frlD,1,1
group_11361,1,1
holA,1,1
ygdQ,1,1
fdoH,1,1
aspC_2,1,1
pspE,1,1
arnB_2,1,1
potH_2,1,1
group_11369,1,1
hycI,1,1
galM,1,1
yibL,1,1
marA_1,1,1
yceI_2,1,1
ilvB,1,1
dnaK_1,1,1
frlB_2,1,1
group_11377,1,1
sgcQ,1,1
cysD,1,1
group_1138,1,1
ptrB,1,1
yfiO,1,1
ilvD_2,1,1
gno,1,1
livF,1,1
upp,1,1
pth,1,1
ompA,1,1
fliJ,1,1
folD,1,1
srlE,1,1
yeeZ,1,1
yccF,1,1
rho,1,1
group_11393,1,1
lldD,1,1
norV,1,1
caiT,1,1
rsuA,1,1
pyrI,1,1
priB,1,1
yqaA,1,1
yheS_1,1,1
group_11401,1,1
menD,1,1
pflB,1,1
hycG,1,1
rfbG,1,1
mltB,1,1
rfaF,1,1
dnaC_1,1,1
crp,1,1
ynfM_1,1,1
lysP_2,1,1
btuC,1,1
ugpQ,1,1
gntR_3,1,1
group_11414,1,1
mdlB,1,1
tolR,1,1
clpS,1,1
sipD,1,1
slt,1,1
proV_1,1,1
group_11420,1,1
group_11421,1,1
fhuD,1,1
fucO,1,1
prgK_1,1,1
citD_2,1,1
group_11426,1,1
yccJ,1,1
citE_1,1,1
group_11429,1,1
zur,1,1
yihT,1,1
coaE,1,1
ykgB,1,1
cvpA,1,1
yebZ,1,1
group_11436,1,1
ycjG,1,1
pagN,1,1
engB,1,1
nrdH,1,1
pabC,1,1
secM,1,1
gntK_1,1,1
rsmG,1,1
queF,1,1
araB,1,1
murG,1,1
group_11447,1,1
ybbJ,1,1
group_11449,1,1
group_1145,1,1
group_11450,1,1
group_11451,1,1
fabG1,1,1
cdh,1,1
group_11454,1,1
group_11455,1,1
aaeB_1,1,1
hpdA_1,1,1
glnL,1,1
mngR_2,1,1
stpA,1,1
opuBC,1,1
rnt,1,1
group_11462,1,1
group_11463,1,1
pspB,1,1
serC,1,1
yciI,1,1
pgaB,1,1
ruvA,1,1
group_11469,1,1
group_1147,1,1
prmC,1,1
fdhF_2,1,1
fabG_1,1,1
ruvC,1,1
tpiA,1,1
yihX,1,1
group_11476,1,1
sodB,1,1
yiiS,1,1
soxB,1,1
group_1148,1,1
group_11480,1,1
group_11481,1,1
group_11482,1,1
ilvM,1,1
rpsP,1,1
group_11485,1,1
rfaJ_1,1,1
yebS_2,1,1
lip-1_1,1,1
rstB,1,1
group_1149,1,1
arnA,1,1
group_11491,1,1
group_11492,1,1
chaB,1,1
yjbJ,1,1
norR_1,1,1
flgM,1,1
modE,1,1
chuR_2,1,1
group_11499,1,1
group_1150,1,1
ssaV,1,1
group_11501,1,1
allS_3,1,1
ydcF,1,1
hmrR,1,1
yajL_2,1,1
dtd,1,1
ogt_2,1,1
hslO,1,1
fabI,1,1
fepA_1,1,1
purT,1,1
mnmC,1,1
cobC,1,1
ulaA_1,1,1
ybbN,1,1
mntB_1,1,1
ampG,1,1
group_11517,1,1
yajL_1,1,1
yaaH,1,1
fes_1,1,1
ycbX,1,1
group_11521,1,1
dgoD_2,1,1
ptsH_2,1,1
group_11524,1,1
murQ,1,1
group_11526,1,1
ycgR,1,1
yebE,1,1
group_11529,1,1
group_1153,1,1
hscB,1,1
prpB,1,1
feoC,1,1
citE_2,1,1
gdhA_2,1,1
nlpD_2,1,1
yicJ_1,1,1
ureR,1,1
group_11538,1,1
group_11539,1,1
yeiG,1,1
emrB_1,1,1
group_11542,1,1
group_11543,1,1
lhgO,1,1
yigZ,1,1
yidA_1,1,1
ddlB,1,1
gstB,1,1
group_11549,1,1
mexR,1,1
group_11551,1,1
mutM,1,1
ttcA,1,1
group_11554,1,1
hmp,1,1
recD,1,1
yccX,1,1
gntU,1,1
gatB_2,1,1
group_11560,1,1
ppiA,1,1
mdoH,1,1
group_11563,1,1
sufE,1,1
group_11565,1,1
ytfJ,1,1
zraR_2,1,1
rmlA,1,1
ybgC,1,1
lptE,1,1
chiA_2,1,1
group_11572,1,1
group_11573,1,1
